GL_Account_Number ,Account_Group_Code,GL_Account_Name ,Created_User,Created_DT,Updated_User,Updated_DT
999991,INC,Product Revenue,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
999992,INC,Services Revenue ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
999993,INC,Bank Revenue ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
999994,INC,Investment Revenue ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
999994,INC,Other Revenue ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
888881,EXP,Operating Expense ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
888882,EXP,Labor Expense,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
888883,EXP,Foreign Expense,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
888884,EXP,Rent Expense,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
888885,EXP,Misleasance Expense,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
777771,LIB,Payable  Liabilities ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
777772,LIB,Lease  Liabilities ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
777773,LIB,Vendor  Liabilities ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
777774,LIB,Tax Liabilities ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
777775,LIB,Mortgage Liabilities ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
666661,AST,Cash,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
666662,AST,Building,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
666663,AST,Materials ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
666664,AST,Inventory,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
666665,AST,Bank Deposits ,DSAI User,2024-01-23 10:00:00,DSAI User,2024-01-23 10:00:00
